Lat , Long 
36.9999456,-122.06234664
36.9999456,-122.06234664
37.000118279359356,-122.06195376282432
37.00012403524589,-122.06194066676584
37.00028520248498,-122.06157398087669
37.00029095841369,-122.06156088490484
37.00029671429266,-122.06154778882342
37.00045788131993,-122.06118110229238
37.00046363718964,-122.0611680061845
37.00063631592315,-122.06077512706648
37.00080899453792,-122.0603822474986
37.000975917079636,-122.06000246347949
37.00114859545383,-122.0596095830114
37.00132127357981,-122.05921670180865
37.00190837891197,-122.0578809027613
37.00208105676308,-122.05748802012343
37.00225373453979,-122.05709513713315
37.00227675819069,-122.05704275266018
37.00230553772084,-122.05697727197715
37.002449435617216,-122.05664986876377
37.00262211303575,-122.0562569845829
37.00265089242642,-122.0561915035301
37.003088341123146,-122.05519619388798
37.00347974217252,-122.05430565180194
37.003652418928795,-122.05391276503767
37.003836607345626,-122.05349368533312
37.0040092838635,-122.05310079765412
37.00417044849203,-122.05273410205872
37.004354636523274,-122.05231502090153
37.00452731267788,-122.05192213185673
37.0046942328397,-122.0515423386725
37.00487266461667,-122.0511363523853
37.00505109627214,-122.05073036562905
37.00521226022381,-122.05036366748084
37.00539644748327,-122.04994458340998
37.00556336706232,-122.0495647880244
37.00573604237172,-122.04917189579761
37.00590871755886,-122.04877900311288
37.006087148463756,-122.04837301353382
37.00625982340945,-122.04798011993363
37.0064324982329,-122.04758722587546
37.00661092871234,-122.04718123476786
37.006944766201485,-122.04642163735005
37.007128952210635,-122.04600254850574
37.007359184577496,-122.04547868678328
37.007531858706585,-122.04508578999395
37.007710288518176,-122.04467979617336
37.007882962404075,-122.04428689846446
37.0080613919626,-122.04388090368974
37.008239821396096,-122.043474908438
37.00841249491964,-122.0430820093519
37.008579412539895,-122.04270220646478
37.008752085824746,-122.04230930648151
37.00891900321072,-122.04192950271928
37.00910318779297,-122.04151040842915
37.00927586071241,-122.04111750706804
37.00944853350961,-122.04072460524877
37.00962696194671,-122.0403186062344
37.00979387874966,-122.03993880026272
37.009966551185485,-122.03954589708066
37.01014497925093,-122.03913989666192
37.01030613996358,-122.03877318618092
37.01047881203851,-122.03838028164328
37.010662995463726,-122.03796118298399
